"St0" "St1" "Tin0" "Tin1" "Tout0" "Tout1" "W0"
"35" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"36" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"37" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"38" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"39" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"40" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"41" "high" "high" "<18" "18-24" "18-24" ">24" "closed"
"42" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"43" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"44" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"45" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"46" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"47" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"48" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"49" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"50" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"51" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"52" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"53" "low" "low" "18-24" "<18" "<18" "<18" "open"
"54" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"55" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"56" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"57" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"58" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"59" "low" "low" "<18" "<18" "<18" "<18" "closed"
"60" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"61" "high" "high" "18-24" ">24" "18-24" ">24" "open"
"62" "high" "high" "<18" "<18" "18-24" "<18" "closed"
"63" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"64" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"65" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"66" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"67" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"68" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"69" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"70" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"71" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"72" "high" "high" "18-24" ">24" "<18" "18-24" "closed"
"73" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"74" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"75" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"76" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"77" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"78" "low" "low" "18-24" ">24" "18-24" ">24" "open"
"79" "high" "low" "18-24" "<18" "<18" "<18" "open"
"80" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"81" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"82" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"83" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"84" "high" "low" "18-24" "<18" "<18" "<18" "open"
"85" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"86" "low" "low" ">24" ">24" ">24" ">24" "open"
"87" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"88" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"89" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"90" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"91" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"92" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"93" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"94" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"95" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"96" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"97" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"98" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"99" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"100" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"101" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"102" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"103" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"104" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"105" "high" "high" "18-24" "<18" "18-24" "<18" "closed"
"106" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"107" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"108" "low" "low" "18-24" "18-24" ">24" "18-24" "closed"
"109" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"110" "high" "low" "18-24" "<18" "<18" "<18" "open"
"111" "high" "low" "18-24" "<18" "<18" "<18" "open"
"112" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"113" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"114" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"115" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"116" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"117" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"118" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"119" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"120" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"121" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"122" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"123" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"124" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"125" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"126" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"127" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"128" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"129" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"130" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"131" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"132" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"133" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"134" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"135" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"136" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"137" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"138" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"139" "high" "high" ">24" ">24" "18-24" "<18" "closed"
"140" "high" "high" "<18" "<18" "18-24" "<18" "closed"
"141" "high" "low" "18-24" "18-24" "18-24" "<18" "closed"
"142" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"143" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"144" "low" "low" "18-24" "18-24" ">24" "18-24" "open"
"145" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"146" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"147" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"148" "low" "high" "18-24" "18-24" "<18" "<18" "open"
"149" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"150" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"151" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"152" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"153" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"154" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"155" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"156" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"157" "low" "low" ">24" ">24" "<18" "<18" "closed"
"158" "low" "low" "<18" "<18" "18-24" "<18" "closed"
"159" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"160" "low" "low" ">24" "18-24" "18-24" ">24" "closed"
"161" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"162" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"163" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"164" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"165" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"166" "low" "low" "18-24" ">24" "<18" "18-24" "open"
"167" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"168" "low" "high" "18-24" "18-24" "18-24" "<18" "open"
"169" "low" "low" "18-24" "<18" "<18" "<18" "open"
"170" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"171" "low" "low" "18-24" ">24" "18-24" ">24" "open"
"172" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"173" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"174" "low" "low" "18-24" "<18" "<18" "<18" "open"
"175" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"176" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"177" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"178" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"179" "low" "low" ">24" ">24" "<18" "<18" "closed"
"180" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"181" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"182" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"183" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"184" "high" "low" ">24" ">24" "18-24" "18-24" "open"
"185" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"186" "low" "high" ">24" "18-24" "18-24" ">24" "open"
"187" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"188" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"189" "high" "high" "<18" "18-24" ">24" "18-24" "closed"
"190" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"191" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"192" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"193" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"194" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"195" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"196" "low" "low" "18-24" ">24" "18-24" ">24" "open"
"197" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"198" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"199" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"200" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"201" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"202" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"203" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"204" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"205" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"206" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"207" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"208" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"209" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"210" "low" "high" "18-24" "<18" "<18" "<18" "closed"
"211" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"212" "low" "high" ">24" "18-24" "<18" "<18" "open"
"213" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"214" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"215" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"216" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"217" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"218" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"219" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"220" "low" "low" ">24" "18-24" "<18" "<18" "open"
"221" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"222" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"223" "high" "low" "18-24" "<18" ">24" "18-24" "open"
"224" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"225" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"226" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"227" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"228" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"229" "high" "high" ">24" ">24" "18-24" "<18" "closed"
"230" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"231" "high" "high" "18-24" "<18" "<18" "<18" "closed"
"232" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"233" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"234" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"235" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"236" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"237" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"238" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"239" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"240" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"241" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"242" "high" "high" "<18" "18-24" "<18" "18-24" "open"
"243" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"244" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"245" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"246" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"247" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"248" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"249" "high" "high" "18-24" "18-24" ">24" "18-24" "closed"
"250" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"251" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"252" "low" "high" "<18" ">24" ">24" ">24" "open"
"253" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"254" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"255" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"256" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"257" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"258" "low" "low" "18-24" ">24" "<18" "<18" "closed"
"259" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"260" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"261" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"262" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"263" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"264" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"265" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"266" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"267" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"268" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"269" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"270" "high" "high" "18-24" ">24" "<18" ">24" "closed"
"271" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"272" "low" "low" ">24" "18-24" "18-24" "18-24" "open"
"273" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"274" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"275" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"276" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"277" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"278" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"279" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"280" "low" "low" "18-24" "18-24" ">24" "18-24" "open"
"281" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"282" "low" "low" "18-24" "18-24" ">24" "18-24" "open"
"283" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"284" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"285" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"286" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"287" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"288" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"289" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"290" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"291" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"292" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"293" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"294" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"295" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"296" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"297" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"298" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"299" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"300" "low" "high" ">24" "18-24" "18-24" "18-24" "open"
"301" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"302" "high" "low" "<18" "<18" "<18" "18-24" "closed"
"303" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"304" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"305" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"306" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"307" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"308" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"309" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"310" "high" "low" ">24" ">24" ">24" ">24" "closed"
"311" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"312" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"313" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"314" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"315" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"316" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"317" "low" "high" "18-24" "18-24" "18-24" ">24" "closed"
"318" "low" "low" "<18" "<18" "18-24" "<18" "closed"
"319" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"320" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"321" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"322" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"323" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"324" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"325" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"326" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"327" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"328" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"329" "low" "high" "<18" "18-24" "18-24" "18-24" "closed"
"330" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"331" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"332" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"333" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"334" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"335" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"336" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"337" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"338" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"339" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"340" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"341" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"342" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"343" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"344" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"345" "low" "low" "18-24" "<18" "<18" "<18" "open"
"346" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"347" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"348" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"349" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"350" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"351" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"352" "high" "high" ">24" "18-24" "18-24" "18-24" "closed"
"353" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"354" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"355" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"356" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"357" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"358" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"359" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"360" "high" "low" "18-24" "18-24" ">24" "18-24" "closed"
"361" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"362" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"363" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"364" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"365" "low" "low" ">24" ">24" ">24" "18-24" "open"
"366" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"367" "high" "high" "<18" "<18" "<18" "<18" "open"
"368" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"369" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"370" "high" "high" "<18" "18-24" "<18" "<18" "closed"
"371" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"372" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"373" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"374" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"375" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"376" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"377" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"378" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"379" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"380" "low" "low" "<18" ">24" "<18" ">24" "closed"
"381" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"382" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"383" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"384" "high" "high" "<18" "18-24" "18-24" ">24" "open"
"385" "high" "low" ">24" "18-24" "<18" "<18" "open"
"386" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"387" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"388" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"389" "high" "high" "18-24" "<18" "<18" "<18" "open"
"390" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"391" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"392" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"393" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"394" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"395" "low" "low" "<18" "<18" "<18" "18-24" "closed"
"396" "high" "high" "18-24" "<18" "18-24" "18-24" "open"
"397" "low" "high" "18-24" ">24" "18-24" ">24" "closed"
"398" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"399" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"400" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"401" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"402" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"403" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"404" "low" "high" ">24" ">24" ">24" ">24" "closed"
"405" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"406" "high" "low" "<18" "18-24" "18-24" ">24" "open"
"407" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"408" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"409" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"410" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"411" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"412" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"413" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"414" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"415" "high" "low" ">24" "18-24" "18-24" "18-24" "open"
"416" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"417" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"418" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"419" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"420" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"421" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"422" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"423" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"424" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"425" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"426" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"427" "high" "low" "18-24" "18-24" ">24" ">24" "closed"
"428" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"429" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
