ìXï‹,ñæÇÈÇ≥,çLÇ≥,êÆëRÇ≥,ê¥åâÇ≥,ëÿç›éûä‘
ìXï‹72,1.73,1.67,1.61,2.13,32.29
ìXï‹73,0.93,2.03,1.84,1.37,23.09
ìXï‹74,2.73,2.61,3.01,1.46,29.86
ìXï‹75,2.93,3.22,3.14,0.74,27.16
ìXï‹76,3.75,3.42,2.46,4.18,63.55
ìXï‹77,3.32,2.57,3.46,1.6,25.12
ìXï‹78,0.92,1.17,1.94,1.77,27.02
ìXï‹79,4.57,3.45,3.98,3.79,45.4
ìXï‹80,1.7,1.51,1.62,1.54,27.96
ìXï‹81,1.31,1.63,2.28,1.36,10.69
ìXï‹82,3.76,3.2,3.84,3.6,52.11
ìXï‹83,2.91,3.21,2.77,1.08,28.6
ìXï‹84,3.78,3.83,2.1,4,66.26
ìXï‹85,1.19,1.68,1.67,1.38,24.04
ìXï‹86,3.7,3.55,2.05,3.4,61.94
ìXï‹87,4.02,4.22,4.01,3.22,57.06
ìXï‹88,1.56,1.39,1.45,2.03,28.17
ìXï‹89,1.88,1.34,1.73,1.3,24.97
ìXï‹90,3.1,3.58,3.21,1.38,31.47
ìXï‹91,3.21,3.28,2.99,1.3,28.58
ìXï‹92,1.59,1.44,2.3,1.81,32.54
ìXï‹93,2.67,3.46,2.91,1.25,27.22
ìXï‹94,0.98,1.42,2.24,2.4,24.03
ìXï‹95,1.66,1.56,1.47,2.06,19.09
ìXï‹96,1.67,1.47,1.62,1.46,20.98
ìXï‹97,1.31,1.72,2.45,2.06,23.73
ìXï‹98,3.32,3.98,1.99,3.92,69.39
ìXï‹99,1.31,1.34,1.32,2.24,22.37
ìXï‹100,1.45,1.55,1.42,1.81,19.28
ìXï‹101,3.26,3.45,2.97,1.02,36.7
ìXï‹102,3.92,4.3,3.78,3.56,42.61
ìXï‹103,1.42,2.01,1.74,1.43,30.1
ìXï‹104,3.82,3.94,2.05,3.77,71.73
ìXï‹105,1.52,1.59,1.33,1.73,25.91
ìXï‹106,3.29,2.95,3.3,3.25,39.38
ìXï‹107,1.15,2.12,1.72,1.6,23.9
ìXï‹108,1.52,1.15,1.76,1.34,33.34
ìXï‹109,2.65,3.18,2.89,1.54,35.31
ìXï‹110,1.65,0.96,0.91,1.85,24.87
ìXï‹111,3.88,3.1,2.82,1.68,27.29
ìXï‹112,1.55,1.42,1.47,1.45,17.32
ìXï‹113,3.94,3.52,1.64,4.32,61.37
ìXï‹114,0.93,1.25,1.56,1.28,33.68
ìXï‹115,3.66,2.82,3.4,1.19,26.14
ìXï‹116,1.46,1.84,1.54,1.78,23.16
ìXï‹117,4.23,3.76,2.02,3.93,57.36
ìXï‹118,3.87,3.37,3.9,3.76,39.28
ìXï‹119,3.44,3.65,2.03,3.83,57.58
ìXï‹120,4.18,3.72,3.5,4.2,34.93
ìXï‹121,3.95,4.03,1.86,3.76,69.6
ìXï‹122,1.6,1.85,1.99,2.06,20.54
ìXï‹123,4.07,3.51,3.49,3.95,46.72
ìXï‹124,3.53,3.82,4.25,3.84,35.81
ìXï‹125,1.19,1.7,2.18,1.21,33.05
ìXï‹126,3.17,3.5,3.63,1.07,29.11
ìXï‹127,3.43,3.92,1.81,3.56,62.66
ìXï‹128,3.96,4.06,2.19,4.11,64.53
ìXï‹129,1.09,1.54,1.54,1.56,32.46
ìXï‹130,1.16,1.89,2.03,1.82,26.47
ìXï‹131,1.71,1.87,1.16,1.5,29.69
ìXï‹132,1.2,1.17,1.7,2.09,23.21
ìXï‹133,1,1.59,1.96,1.41,25.25
ìXï‹134,4.31,3.56,3.34,3.6,38.76
ìXï‹135,0.67,2,1.6,2.19,21.91
ìXï‹136,4.08,3.67,2.42,3.89,62.39
ìXï‹137,4.12,3.88,1.54,3.44,60.12
ìXï‹138,3.99,3.45,2.07,4.23,71.45
ìXï‹139,4.22,4.17,4,3.52,52.84
ìXï‹140,3.17,3.54,2.86,1.26,27.95
ìXï‹141,3.41,2.99,3.18,1.08,28.9
ìXï‹142,2.77,3.09,2.78,1.71,36.78
ìXï‹143,3.75,3.65,4.24,3.47,39.66
ìXï‹144,1.57,1.62,1.96,1.22,20.22
ìXï‹145,2.36,3.24,3.29,1.25,14.06
ìXï‹146,4.1,3.83,2.5,4.09,57.16
ìXï‹147,4.19,3.36,3.17,3.73,44.62
ìXï‹148,2.71,2.89,3.86,1.03,29.73
ìXï‹149,1.27,1.61,1.48,2.01,21.71
ìXï‹150,4.26,3.6,1.85,3.92,64.64
ìXï‹151,2.64,2.77,3.7,1.15,31.72
ìXï‹152,2.7,3.03,3.31,2.08,35.67
ìXï‹153,1.12,1.52,1.55,1.56,15.23
ìXï‹154,1.54,1.34,1.81,2.31,27.62
ìXï‹155,2.96,3.7,2.94,1.38,25.44
ìXï‹156,1.83,1.51,1.49,1.35,14.32
ìXï‹157,2.78,3.18,3.67,1.15,32.73
ìXï‹158,3.34,3.32,3.65,1.12,33.43
ìXï‹159,3.25,3.23,3.18,1.15,30.27
ìXï‹160,1.48,1.22,1.64,1.49,26.1
